,,id,overload_min,overload_max,over_speed_min,over_speed_max,at_night_min,at_night_max,other_place_min,other_place_max,high_speed_dis_min,high_speed_dis_max,high_speed_time_min,high_speed_time_max,dis_avg_min,dis_avg_max,score
211,0,1.0,0,1.0,5,15.0,0,1.0,1200,2400.0,20,30.0,75,120.0,64,72.0,77
212,0,1.0,0,1.0,15,15.0,0,1.0,1200,2400.0,10,20.0,15,25.0,64,72.0,92
213,0,1.0,0,1.0,5,15.0,0,1.0,2400,4000.0,45,80.0,35,45.0,56,64.0,24
214,0,1.0,0,1.0,0,1.0,0,1.0,600,1200.0,10,20.0,75,120.0,72,84.0,64
215,0,1.0,0,1.0,0,1.0,0,1.0,0,600.0,0,10.0,75,120.0,64,72.0,41
216,0,1.0,1,12.0,1,5.0,0,1.0,1200,2400.0,20,30.0,120,10000.0,64,72.0,20
217,0,1.0,20,140.0,5,15.0,0,1.0,10000,140.0,140,140.0,35,45.0,84,140.0,12
218,0,1.0,0,1.0,0,1.0,0,1.0,0,600.0,0,10.0,15,25.0,72,84.0,47
219,0,1.0,0,1.0,15,120.0,20,120.0,10000,120.0,140,120.0,120,120.0,0,56.0,8
220,0,1.0,0,1.0,0,1.0,0,1.0,0,600.0,0,10.0,0,15.0,56,64.0,90
221,0,1.0,1,12.0,1,5.0,0,1.0,600,1200.0,10,20.0,120,84.0,72,84.0,58
222,0,1.0,1,12.0,1,5.0,0,1.0,0,600.0,0,10.0,45,55.0,84,84.0,26
223,0,1.0,20,98.0,5,15.0,10,20.0,10000,98.0,140,98.0,120,98.0,84,98.0,14
224,0,1.0,0,1.0,5,15.0,0,1.0,4000,10000.0,80,140.0,75,120.0,64,72.0,59
225,0,1.0,1,12.0,1,5.0,0,1.0,0,600.0,0,10.0,35,45.0,84,20.0,62
226,0,1.0,20,20.0,15,20.0,1,10.0,10000,20.0,140,20.0,45,55.0,56,64.0,26
227,0,1.0,20,15.0,1,5.0,0,1.0,4000,10000.0,45,80.0,25,35.0,72,84.0,29
228,0,1.0,0,1.0,0,1.0,0,1.0,0,600.0,0,10.0,15,25.0,72,84.0,55
229,0,1.0,1,12.0,5,15.0,0,1.0,1200,2400.0,20,30.0,15,25.0,72,84.0,61
230,0,1.0,0,1.0,1,5.0,1,10.0,0,600.0,0,10.0,55,75.0,0,56.0,80
231,0,1.0,1,12.0,0,1.0,0,1.0,0,600.0,0,10.0,25,35.0,72,84.0,58
