车辆id,年超载行驶次数范围,年超速行驶次数范围,年夜晚行驶次数范围,年异地行驶次数范围,年高速总里程范围,年高速行驶时间范围,平均单次出行里程范围,平均行驶速度范围,安全评分
5038,"[0, 1)","[0, 1)","[5, 15)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[56, 64)",94
5039,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[64, 72)",83
5040,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[84, inf)",61
5041,"[0, 1)","[0, 1)","[15, inf)","[10, 20)","[4000, 10000)","[45, 80)","[120, inf)","[72, 84)",19
5042,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[56, 64)",82
5043,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[84, inf)",51
5044,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[56, 64)",83
5045,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[600, 1200)","[0, 10)","[75, 120)","[72, 84)",57
5046,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[2400, 4000)","[30, 45)","[75, 120)","[72, 84)",58
5047,"[0, 1)","[1, 12)","[15, inf)","[20, inf)","[4000, 10000)","[80, 140)","[35, 45)","[72, 84)",42
5048,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[45, 55)","[56, 64)",78
5049,"[0, 1)","[0, 1)","[1, 5)","[1, 10)","[0, 600)","[0, 10)","[35, 45)","[72, 84)",81
5050,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[120, inf)","[64, 72)",38
5051,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[0, 56)",47
5052,"[0, 1)","[1, 12)","[15, inf)","[20, inf)","[10000, inf)","[140, inf)","[120, inf)","[64, 72)",9
5053,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[120, inf)","[84, inf)",60
5054,"[0, 1)","[0, 1)","[1, 5)","[1, 10)","[0, 600)","[0, 10)","[120, inf)","[64, 72)",69
5055,"[0, 1)","[1, 12)","[15, inf)","[20, inf)","[4000, 10000)","[80, 140)","[120, inf)","[64, 72)",44
5056,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[72, 84)",55
