车辆id,年超载行驶次数范围,年超速行驶次数范围,年夜晚行驶次数范围,年异地行驶次数范围,年高速总里程范围,年高速行驶时间范围,平均单次出行里程范围,平均行驶速度范围,安全评分
7169,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[0, 600)","[0, 10)","[15, 25)","[56, 64)",52
7170,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[1200, 2400)","[20, 30)","[120, inf)","[72, 84)",43
7171,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[64, 72)",87
7172,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[600, 1200)","[0, 10)","[120, inf)","[72, 84)",51
7173,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[120, inf)","[64, 72)",47
7174,"[0, 1)","[0, 1)","[5, 15)","[0, 1)","[4000, 10000)","[45, 80)","[75, 120)","[56, 64)",63
7175,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[600, 1200)","[20, 30)","[120, inf)","[56, 64)",65
7176,"[0, 1)","[1, 12)","[5, 15)","[0, 1)","[1200, 2400)","[20, 30)","[75, 120)","[72, 84)",16
7177,"[0, 1)","[1, 12)","[5, 15)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[72, 84)",69
7178,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[0, 600)","[20, 30)","[75, 120)","[56, 64)",56
7179,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[56, 64)",48
7180,"[0, 1)","[1, 12)","[5, 15)","[0, 1)","[1200, 2400)","[10, 20)","[35, 45)","[72, 84)",54
7181,"[0, 1)","[1, 12)","[5, 15)","[0, 1)","[1200, 2400)","[10, 20)","[35, 45)","[72, 84)",60
7182,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[72, 84)",78
7183,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[600, 1200)","[10, 20)","[120, inf)","[72, 84)",34
7184,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[45, 55)","[56, 64)",44
7185,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[0, 600)","[0, 10)","[75, 120)","[72, 84)",59
7186,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[72, 84)",48
7187,"[0, 1)","[20, inf)","[5, 15)","[0, 1)","[1200, 2400)","[10, 20)","[55, 75)","[84, inf)",59
7188,"[1, 10)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[64, 72)",18
7189,"[0, 1)","[12, 20)","[1, 5)","[0, 1)","[1200, 2400)","[10, 20)","[75, 120)","[84, inf)",57
7190,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[0, 56)",73
7191,"[0, 1)","[0, 1)","[1, 5)","[1, 10)","[600, 1200)","[20, 30)","[120, inf)","[0, 56)",34
7192,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[64, 72)",83
7193,"[0, 1)","[0, 1)","[0, 1)","[1, 10)","[0, 600)","[0, 10)","[75, 120)","[72, 84)",73
7194,"[0, 1)","[0, 1)","[5, 15)","[10, 20)","[4000, 10000)","[45, 80)","[120, inf)","[56, 64)",62
7195,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[72, 84)",86
7196,"[0, 1)","[0, 1)","[15, inf)","[0, 1)","[600, 1200)","[10, 20)","[15, 25)","[56, 64)",92
7197,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[72, 84)",73
7198,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[1200, 2400)","[20, 30)","[45, 55)","[64, 72)",86
7199,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[4000, 10000)","[45, 80)","[75, 120)","[72, 84)",50
7200,"[0, 1)","[0, 1)","[1, 5)","[1, 10)","[600, 1200)","[10, 20)","[120, inf)","[56, 64)",68
7201,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[0, 15)","[0, 56)",90
7202,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[64, 72)",48
7203,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[84, inf)",81
7204,"[0, 1)","[0, 1)","[0, 1)","[1, 10)","[0, 600)","[0, 10)","[55, 75)","[72, 84)",76
7205,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[84, inf)",61
7206,"[0, 1)","[20, inf)","[5, 15)","[20, inf)","[2400, 4000)","[30, 45)","[75, 120)","[84, inf)",32
7207,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[56, 64)",86
7208,"[0, 1)","[20, inf)","[5, 15)","[1, 10)","[4000, 10000)","[45, 80)","[120, inf)","[84, inf)",25
7209,"[0, 1)","[12, 20)","[15, inf)","[0, 1)","[4000, 10000)","[80, 140)","[55, 75)","[72, 84)",20
7210,"[0, 1)","[1, 12)","[15, inf)","[20, inf)","[10000, inf)","[140, inf)","[120, inf)","[0, 56)",6
7211,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[600, 1200)","[10, 20)","[120, inf)","[72, 84)",23
7212,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[64, 72)",39
7213,"[0, 1)","[1, 12)","[5, 15)","[10, 20)","[4000, 10000)","[80, 140)","[120, inf)","[64, 72)",36
7214,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[0, 15)","[0, 56)",90
7215,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[56, 64)",89
7216,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[0, 56)",48
7217,"[0, 1)","[1, 12)","[1, 5)","[10, 20)","[1200, 2400)","[10, 20)","[120, inf)","[72, 84)",56
7218,"[0, 1)","[20, inf)","[15, inf)","[20, inf)","[4000, 10000)","[80, 140)","[120, inf)","[84, inf)",31
7219,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[600, 1200)","[0, 10)","[75, 120)","[72, 84)",24
7220,"[0, 1)","[0, 1)","[5, 15)","[0, 1)","[600, 1200)","[0, 10)","[35, 45)","[72, 84)",68
7221,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[1200, 2400)","[30, 45)","[0, 15)","[0, 56)",59
7222,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[56, 64)",84
7223,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[84, inf)",61
7224,"[0, 1)","[0, 1)","[1, 5)","[1, 10)","[0, 600)","[0, 10)","[35, 45)","[64, 72)",74
7225,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[0, 600)","[0, 10)","[120, inf)","[72, 84)",28
7226,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[56, 64)",80
7227,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[56, 64)",90
7228,"[0, 1)","[20, inf)","[15, inf)","[20, inf)","[10000, inf)","[80, 140)","[75, 120)","[84, inf)",19
7229,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[600, 1200)","[10, 20)","[75, 120)","[84, inf)",21
7230,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[72, 84)",57
7231,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[600, 1200)","[0, 10)","[55, 75)","[72, 84)",49
7232,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[84, inf)",58
7233,"[0, 1)","[0, 1)","[5, 15)","[0, 1)","[1200, 2400)","[30, 45)","[35, 45)","[0, 56)",67
7234,"[0, 1)","[20, inf)","[15, inf)","[20, inf)","[10000, inf)","[140, inf)","[120, inf)","[72, 84)",12
7235,"[0, 1)","[1, 12)","[15, inf)","[0, 1)","[10000, inf)","[140, inf)","[55, 75)","[64, 72)",15
7236,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[1200, 2400)","[30, 45)","[35, 45)","[56, 64)",26
7237,"[0, 1)","[0, 1)","[1, 5)","[1, 10)","[0, 600)","[0, 10)","[35, 45)","[72, 84)",81
7238,"[0, 1)","[0, 1)","[0, 1)","[1, 10)","[0, 600)","[0, 10)","[55, 75)","[0, 56)",46
7239,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[56, 64)",39
7240,"[0, 1)","[1, 12)","[15, inf)","[0, 1)","[4000, 10000)","[80, 140)","[75, 120)","[64, 72)",24
7241,"[0, 1)","[0, 1)","[15, inf)","[1, 10)","[4000, 10000)","[45, 80)","[75, 120)","[64, 72)",67
7242,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[600, 1200)","[10, 20)","[75, 120)","[64, 72)",34
7243,"[0, 1)","[0, 1)","[15, inf)","[0, 1)","[4000, 10000)","[45, 80)","[75, 120)","[64, 72)",22
7244,"[1, 10)","[1, 12)","[15, inf)","[20, inf)","[10000, inf)","[140, inf)","[120, inf)","[72, 84)",5
7245,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[84, inf)",61
7246,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[600, 1200)","[20, 30)","[25, 35)","[56, 64)",56
7247,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[72, 84)",58
7248,"[0, 1)","[1, 12)","[5, 15)","[0, 1)","[2400, 4000)","[45, 80)","[55, 75)","[72, 84)",39
7249,"[0, 1)","[20, inf)","[15, inf)","[1, 10)","[4000, 10000)","[45, 80)","[55, 75)","[84, inf)",26
7250,"[0, 1)","[1, 12)","[5, 15)","[1, 10)","[1200, 2400)","[20, 30)","[15, 25)","[72, 84)",60
7251,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[56, 64)",66
7252,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[0, 600)","[0, 10)","[55, 75)","[84, inf)",59
7253,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[72, 84)",58
7254,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[0, 56)",47
7255,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[600, 1200)","[10, 20)","[120, inf)","[72, 84)",52
7256,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[56, 64)",70
7257,"[0, 1)","[0, 1)","[5, 15)","[1, 10)","[1200, 2400)","[30, 45)","[55, 75)","[56, 64)",28
7258,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[0, 56)",93
7259,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[64, 72)",82
7260,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[2400, 4000)","[20, 30)","[120, inf)","[84, inf)",49
7261,"[0, 1)","[1, 12)","[15, inf)","[0, 1)","[10000, inf)","[140, inf)","[55, 75)","[56, 64)",6
7262,"[0, 1)","[0, 1)","[15, inf)","[0, 1)","[1200, 2400)","[20, 30)","[45, 55)","[56, 64)",30
7263,"[0, 1)","[20, inf)","[5, 15)","[1, 10)","[2400, 4000)","[30, 45)","[55, 75)","[84, inf)",46
7264,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[45, 55)","[64, 72)",46
7265,"[0, 1)","[0, 1)","[1, 5)","[10, 20)","[0, 600)","[0, 10)","[15, 25)","[0, 56)",43
7266,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[72, 84)",55
7267,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[56, 64)",84
7268,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[56, 64)",55
7269,"[0, 1)","[0, 1)","[1, 5)","[1, 10)","[2400, 4000)","[30, 45)","[120, inf)","[64, 72)",65
7270,"[0, 1)","[20, inf)","[5, 15)","[1, 10)","[10000, inf)","[80, 140)","[55, 75)","[84, inf)",27
7271,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[1200, 2400)","[20, 30)","[120, inf)","[72, 84)",68
7272,"[0, 1)","[1, 12)","[15, inf)","[0, 1)","[600, 1200)","[10, 20)","[35, 45)","[64, 72)",66
7273,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[2400, 4000)","[30, 45)","[120, inf)","[72, 84)",15
7274,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[600, 1200)","[10, 20)","[25, 35)","[56, 64)",83
7275,"[0, 1)","[12, 20)","[5, 15)","[0, 1)","[2400, 4000)","[20, 30)","[75, 120)","[84, inf)",30
7276,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[84, inf)",79
7277,"[0, 1)","[1, 12)","[5, 15)","[0, 1)","[600, 1200)","[10, 20)","[25, 35)","[72, 84)",64
7278,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[72, 84)",84
7279,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[84, inf)",63
7280,"[0, 1)","[1, 12)","[5, 15)","[10, 20)","[4000, 10000)","[45, 80)","[120, inf)","[72, 84)",43
7281,"[0, 1)","[0, 1)","[1, 5)","[1, 10)","[2400, 4000)","[30, 45)","[120, inf)","[64, 72)",61
7282,"[0, 1)","[1, 12)","[15, inf)","[0, 1)","[1200, 2400)","[20, 30)","[25, 35)","[72, 84)",59
7283,"[0, 1)","[0, 1)","[15, inf)","[0, 1)","[1200, 2400)","[80, 140)","[25, 35)","[56, 64)",82
7284,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[84, inf)",55
7285,"[0, 1)","[0, 1)","[0, 1)","[1, 10)","[0, 600)","[0, 10)","[55, 75)","[72, 84)",47
7286,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[600, 1200)","[10, 20)","[75, 120)","[84, inf)",58
7287,"[1, 10)","[0, 1)","[1, 5)","[10, 20)","[600, 1200)","[20, 30)","[45, 55)","[56, 64)",37
7288,"[0, 1)","[1, 12)","[5, 15)","[10, 20)","[1200, 2400)","[10, 20)","[75, 120)","[84, inf)",59
7289,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[45, 55)","[84, inf)",62
7290,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[72, 84)",46
7291,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[56, 64)",45
7292,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[0, 15)","[0, 56)",90
7293,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[2400, 4000)","[30, 45)","[25, 35)","[72, 84)",58
7294,"[0, 1)","[1, 12)","[5, 15)","[0, 1)","[1200, 2400)","[20, 30)","[75, 120)","[72, 84)",61
7295,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[600, 1200)","[10, 20)","[25, 35)","[64, 72)",92
7296,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[0, 15)","[72, 84)",90
7297,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[72, 84)",36
7298,"[0, 1)","[1, 12)","[5, 15)","[0, 1)","[2400, 4000)","[45, 80)","[75, 120)","[64, 72)",30
7299,"[0, 1)","[12, 20)","[15, inf)","[20, inf)","[10000, inf)","[140, inf)","[120, inf)","[72, 84)",9
7300,"[1, 10)","[1, 12)","[1, 5)","[0, 1)","[1200, 2400)","[30, 45)","[0, 15)","[56, 64)",30
7301,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[600, 1200)","[10, 20)","[75, 120)","[56, 64)",34
7302,"[0, 1)","[12, 20)","[15, inf)","[20, inf)","[4000, 10000)","[140, inf)","[120, inf)","[72, 84)",21
7303,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[600, 1200)","[0, 10)","[120, inf)","[56, 64)",65
7304,"[0, 1)","[0, 1)","[5, 15)","[0, 1)","[1200, 2400)","[20, 30)","[45, 55)","[56, 64)",86
7305,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[72, 84)",82
7306,"[0, 1)","[0, 1)","[5, 15)","[0, 1)","[4000, 10000)","[80, 140)","[15, 25)","[0, 56)",65
7307,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[600, 1200)","[20, 30)","[120, inf)","[64, 72)",23
7308,"[0, 1)","[0, 1)","[5, 15)","[0, 1)","[600, 1200)","[10, 20)","[75, 120)","[64, 72)",65
7309,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[72, 84)",47
7310,"[0, 1)","[1, 12)","[5, 15)","[0, 1)","[1200, 2400)","[45, 80)","[55, 75)","[0, 56)",63
7311,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[120, inf)","[72, 84)",72
7312,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[64, 72)",76
7313,"[0, 1)","[1, 12)","[5, 15)","[10, 20)","[2400, 4000)","[30, 45)","[75, 120)","[64, 72)",48
7314,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[2400, 4000)","[30, 45)","[120, inf)","[72, 84)",47
7315,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[72, 84)",83
7316,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[4000, 10000)","[80, 140)","[75, 120)","[64, 72)",63
7317,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[45, 55)","[0, 56)",71
7318,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[64, 72)",77
7319,"[0, 1)","[0, 1)","[15, inf)","[0, 1)","[4000, 10000)","[80, 140)","[55, 75)","[0, 56)",39
7320,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[45, 55)","[72, 84)",80
7321,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[72, 84)",60
7322,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[84, inf)",61
7323,"[0, 1)","[12, 20)","[1, 5)","[0, 1)","[2400, 4000)","[20, 30)","[120, inf)","[84, inf)",38
7324,"[0, 1)","[1, 12)","[5, 15)","[0, 1)","[600, 1200)","[10, 20)","[45, 55)","[56, 64)",60
7325,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[600, 1200)","[10, 20)","[75, 120)","[72, 84)",55
7326,"[0, 1)","[1, 12)","[5, 15)","[0, 1)","[600, 1200)","[20, 30)","[75, 120)","[64, 72)",21
7327,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[56, 64)",55
7328,"[1, 10)","[12, 20)","[15, inf)","[0, 1)","[10000, inf)","[80, 140)","[120, inf)","[72, 84)",9
7329,"[0, 1)","[0, 1)","[0, 1)","[1, 10)","[0, 600)","[0, 10)","[15, 25)","[0, 56)",83
7330,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[600, 1200)","[0, 10)","[55, 75)","[84, inf)",22
7331,"[0, 1)","[1, 12)","[5, 15)","[1, 10)","[10000, inf)","[140, inf)","[120, inf)","[72, 84)",7
7332,"[0, 1)","[1, 12)","[5, 15)","[0, 1)","[600, 1200)","[10, 20)","[45, 55)","[84, inf)",62
7333,"[0, 1)","[1, 12)","[15, inf)","[10, 20)","[10000, inf)","[140, inf)","[120, inf)","[56, 64)",9
7334,"[0, 1)","[1, 12)","[0, 1)","[1, 10)","[0, 600)","[0, 10)","[120, inf)","[84, inf)",24
7335,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[72, 84)",90
7336,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[600, 1200)","[10, 20)","[75, 120)","[72, 84)",53
7337,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[0, 56)",49
7338,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[72, 84)",63
7339,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[64, 72)",76
7340,"[0, 1)","[1, 12)","[5, 15)","[1, 10)","[1200, 2400)","[20, 30)","[35, 45)","[72, 84)",54
7341,"[0, 1)","[1, 12)","[5, 15)","[0, 1)","[1200, 2400)","[20, 30)","[45, 55)","[72, 84)",65
7342,"[0, 1)","[12, 20)","[5, 15)","[10, 20)","[1200, 2400)","[20, 30)","[75, 120)","[84, inf)",38
7343,"[0, 1)","[1, 12)","[5, 15)","[10, 20)","[4000, 10000)","[140, inf)","[120, inf)","[0, 56)",27
7344,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[0, 15)","[64, 72)",55
7345,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[84, inf)",61
7346,"[0, 1)","[1, 12)","[5, 15)","[0, 1)","[1200, 2400)","[20, 30)","[25, 35)","[72, 84)",63
7347,"[0, 1)","[1, 12)","[15, inf)","[20, inf)","[10000, inf)","[140, inf)","[120, inf)","[72, 84)",22
7348,"[0, 1)","[0, 1)","[15, inf)","[0, 1)","[10000, inf)","[140, inf)","[75, 120)","[56, 64)",25
7349,"[0, 1)","[1, 12)","[0, 1)","[1, 10)","[0, 600)","[0, 10)","[120, inf)","[72, 84)",55
7350,"[0, 1)","[0, 1)","[15, inf)","[0, 1)","[10000, inf)","[140, inf)","[120, inf)","[64, 72)",16
7351,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[56, 64)",90
7352,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[120, inf)","[84, inf)",24
7353,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[84, inf)",65
7354,"[0, 1)","[1, 12)","[15, inf)","[0, 1)","[2400, 4000)","[45, 80)","[25, 35)","[0, 56)",59
7355,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[0, 56)",47
7356,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[2400, 4000)","[140, inf)","[15, 25)","[0, 56)",70
7357,"[0, 1)","[1, 12)","[5, 15)","[0, 1)","[2400, 4000)","[30, 45)","[75, 120)","[72, 84)",39
7358,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[1200, 2400)","[20, 30)","[75, 120)","[84, inf)",52
7359,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[0, 15)","[0, 56)",49
7360,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[84, inf)",56
7361,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[0, 600)","[0, 10)","[75, 120)","[84, inf)",58
7362,"[0, 1)","[1, 12)","[15, inf)","[20, inf)","[10000, inf)","[140, inf)","[75, 120)","[56, 64)",14
7363,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[64, 72)",90
7364,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[600, 1200)","[10, 20)","[15, 25)","[64, 72)",71
7365,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[45, 55)","[64, 72)",48
7366,"[0, 1)","[1, 12)","[15, inf)","[20, inf)","[10000, inf)","[140, inf)","[120, inf)","[64, 72)",10
7367,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[72, 84)",55
7368,"[0, 1)","[1, 12)","[5, 15)","[1, 10)","[1200, 2400)","[20, 30)","[25, 35)","[72, 84)",39
7369,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[84, inf)",28
7370,"[0, 1)","[1, 12)","[5, 15)","[0, 1)","[600, 1200)","[10, 20)","[35, 45)","[72, 84)",43
7371,"[0, 1)","[1, 12)","[15, inf)","[0, 1)","[10000, inf)","[140, inf)","[35, 45)","[72, 84)",21
7372,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[84, inf)",63
7373,"[0, 1)","[12, 20)","[15, inf)","[0, 1)","[2400, 4000)","[30, 45)","[15, 25)","[72, 84)",35
7374,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[1200, 2400)","[20, 30)","[120, inf)","[56, 64)",29
7375,"[0, 1)","[0, 1)","[1, 5)","[1, 10)","[0, 600)","[0, 10)","[25, 35)","[64, 72)",67
7376,"[0, 1)","[1, 12)","[15, inf)","[20, inf)","[10000, inf)","[140, inf)","[120, inf)","[64, 72)",9
7377,"[0, 1)","[20, inf)","[5, 15)","[0, 1)","[4000, 10000)","[45, 80)","[55, 75)","[84, inf)",41
7378,"[0, 1)","[1, 12)","[5, 15)","[0, 1)","[2400, 4000)","[45, 80)","[25, 35)","[64, 72)",55
7379,"[0, 1)","[1, 12)","[1, 5)","[10, 20)","[2400, 4000)","[30, 45)","[120, inf)","[84, inf)",46
7380,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[0, 15)","[64, 72)",90
7381,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[72, 84)",80
7382,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[72, 84)",46
7383,"[0, 1)","[0, 1)","[5, 15)","[0, 1)","[1200, 2400)","[20, 30)","[15, 25)","[64, 72)",91
7384,"[0, 1)","[0, 1)","[15, inf)","[0, 1)","[600, 1200)","[10, 20)","[25, 35)","[64, 72)",65
7385,"[0, 1)","[1, 12)","[5, 15)","[0, 1)","[1200, 2400)","[20, 30)","[25, 35)","[72, 84)",65
7386,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[72, 84)",30
7387,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[72, 84)",82
7388,"[0, 1)","[0, 1)","[1, 5)","[1, 10)","[600, 1200)","[10, 20)","[120, inf)","[64, 72)",67
7389,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[1200, 2400)","[20, 30)","[55, 75)","[72, 84)",61
